filename,SEM_number_image,SEM_number_image_conf,scientific_name_filename,SEM_number_filename,angle_filename
Zootermopsis angusticollis form D (1dorsal) body only.jpg,SEM-UBC ISO-0035,0.8514562272291283,Zootermopsis angusticollis form D,,dorsal
Dicyrtoma sp. (2right) COLL-0010.jpeg,SEM-UBC COLL-0010,FROM FILENAME,Dicyrtoma sp.,SEM-UBC COLL-0010,right
Scoliopteryx libatrix (1dorsal).jpg,SEM-UBC NOC-0941,0.9278842577791104,Scoliopteryx libatrix,,dorsal
Supella longipalpa form A (2ventral) .jpg,SEM-UBC DIC-0085,0.688589439416282,Supella longipalpa form A,,ventral
Periplaneta australasiae (1dorsal) .jpg,SEM-UBC DIC-0044,0.8696575035500943,Periplaneta australasiae,,dorsal
Amphizoa insolens (2ventral).jpg,SEM-UBC COL-0044,0.7764469577649379,Amphizoa insolens,,ventral
Nyctibora sp form C (3lateral) .jpg,SEM-UBC DIC-0076,0.9494471793530489,Nyctibora sp form C,,lateral
Entomobrya multifasciata (1left) COLL-0007.jpeg,SEM-UBC COLL-0007,FROM FILENAME,Entomobrya multifasciata,SEM-UBC COLL-0007,left
Periplaneta australasiae (3lateral) .jpg,SEM-UBC DIC-0044,0.8382516625582632,Periplaneta australasiae,,lateral
Entomobrya multifasciata (6fullslide) COLL-0007.jpeg,SEM-UBC COLL-0007,FROM FILENAME,Entomobrya multifasciata,SEM-UBC COLL-0007,fullslide
Apteroloma caraboides (4front).jpg,SEM-UBC COL-28991,0.8122229279468997,Apteroloma caraboides,,front
Supella longipalpa form A (1dorsal) .jpg,SEM-UBC DIC-0085,0.8461066242575453,Supella longipalpa form A,,dorsal
Folsomia fimetaria (2right) COLL-0008.jpeg,SEM-UBC COLL-0008,FROM FILENAME,Folsomia fimetaria,SEM-UBC COLL-0008,right
Parcoblatta pennsylvanica (2ventral) SEM-UBC DIC-0186.jpg,SEM-UBC DIC-0186,FROM FILENAME,Parcoblatta pennsylvanica,SEM-UBC DIC-0186,ventral
Blatta orientalis nymph (1dorsal) .jpg,SEM-UBC DIC-0016,0.8875870383545982,Blatta orientalis nymph,,dorsal
Isotomurus palustris (2right) COLL-0002.jpeg,SEM-UBC COLL-0002,FROM FILENAME,Isotomurus palustris,SEM-UBC COLL-0002,right
Agulla bicolor female (2ventral).jpeg,SEM-UBC RAP-0165,0.9431031250689862,Agulla bicolor female,,ventral
Apteroloma tenuicorne (2ventral) .jpg,SEM-UBC COL-28992,0.9993393587195862,Apteroloma tenuicorne,,ventral
Folsomia fimetaria (6fullslide) COLL-0008.jpeg,SEM-UBC COLL-0008,FROM FILENAME,Folsomia fimetaria,SEM-UBC COLL-0008,fullslide
Lamprochernes minor (2ventral).jpeg,SEM-UBC PSEU-0002,0.9735283451616532,Lamprochernes minor,,ventral
Mundochthonius pacificus (1dorsal).jpeg,SEM-UBC PSEU-0001,0.7969560932157868,Mundochthonius pacificus,,dorsal
Isotomurus palustris (6fullslide) COLL-0002.jpeg,SEM-UBC COLL-0002,FROM FILENAME,Isotomurus palustris,SEM-UBC COLL-0002,fullslide
Periplaneta americana nymph (2ventral) .jpg,SEM-UBC DIC-0027,0.8190883388179189,Periplaneta americana nymph,,ventral
Periplaneta australasiae nymph (2ventral) .jpg,SEM-UBC DIC-0051,0.7431998436211366,Periplaneta australasiae nymph,,ventral
Necrophilus hydrophiloides form A (2ventral) .jpg,SEM-UBC COL-28996,0.9985841627720943,Necrophilus hydrophiloides form A,,ventral
Nemoria darwiniata (2ventral).jpg,SEM-UBC GEO-0260,0.7307243667111586,Nemoria darwiniata,,ventral
Sinella baca (2ventral) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,ventral
Aderus populneus (1dorsal) .jpg,SEM-UBC COL-28948,0.7139124814019097,Aderus populneus,,dorsal
Lepidocyrtus cyaneus (6fullslide) COLL-0006.jpeg,SEM-UBC COLL-0006,FROM FILENAME,Lepidocyrtus cyaneus,SEM-UBC COLL-0006,fullslide
Caenurgina annexa (1dorsal).jpg,SEM-UBC NOC-0945,0.8539653948189702,Caenurgina annexa,,dorsal
Blaberus sp (2ventral) merged .jpg,SEM-UBC DIC-0058,0.7437825580791644,Blaberus sp,,ventral
Nyctibora sp form A (2ventral) .jpg,SEM-UBC DIC-0073,0.7990210110354039,Nyctibora sp form A,,ventral
Blaberus sp (3lateral) .jpg,SEM-UBC DIC-0058,0.9470104327063574,Blaberus sp,,lateral
Agulla bicolor female (3lateral).jpeg,SEM-UBC RAP-0165,0.8540361337798913,Agulla bicolor female,,lateral
Reticulitermes hesperus (1dorsal) .jpg,SEM-UBC ISO-0130,0.6552114398323937,Reticulitermes hesperus,,dorsal
Tomocerus brevimucronatus (1left) COLL-0012.jpeg,SEM-UBC COLL-0012,FROM FILENAME,Tomocerus brevimucronatus,SEM-UBC COLL-0012,left
Apteroloma tenuicorne (3lateral) .jpg,SEM-UBC COL-28992,0.996875294223593,Apteroloma tenuicorne,,lateral
Necrophilus hydrophiloides form A (4front).jpg,SEM-UBC COL-28996,0.9909271057411444,Necrophilus hydrophiloides form A,,front
Amphizoa striata (3lateral).jpg,SEM-UBC COL-0090,0.9987906050683104,Amphizoa striata,,lateral
Zootermopsis angusticollis form D (1dorsal) .jpg,SEM-UBC ISO-0035,0.9529633986618947,Zootermopsis angusticollis form D,,dorsal
Periplaneta australasiae nymph (1dorsal) .jpg,SEM-UBC DIC-0051,0.7796847860519791,Periplaneta australasiae nymph,,dorsal
Amphizoa insolens (1dorsal).jpg,SEM-UBC COL-0044,0.8592325341174927,Amphizoa insolens,,dorsal
Panchlora sp Form A (1dorsal) .jpg,SEM-UBC DIC-0066,0.8936747883424837,Panchlora sp Form A,,dorsal
