file_path,image_file_name,SEM_number_image,SEM_number_image_conf,scientific_name_filename,SEM_number_filename,angle_filename
example_images/Necrophilus hydrophiloides form B (3lateral) .jpg,Necrophilus hydrophiloides form B (3lateral) .jpg,SEM-UBC COL-28997,0.9793420389822413,Necrophilus hydrophiloides form B,,lateral
example_images/Parcoblatta pennsylvanica (3lateral) SEM-UBC DIC-0186.jpg,Parcoblatta pennsylvanica (3lateral) SEM-UBC DIC-0186.jpg,SEM-UBC DIC-0186,FROM FILENAME,Parcoblatta pennsylvanica,SEM-UBC DIC-0186,lateral
example_images/Lamprochernes minor (6fullslide).jpeg,Lamprochernes minor (6fullslide).jpeg,SEM-UBC PSEU-0002,0.6849845592131957,Lamprochernes minor,,fullslide
example_images/Climaciella brunnea (3lateral).jpg,Climaciella brunnea (3lateral).jpg,SEM-UBC NEU-0911,0.5564896230456936,Climaciella brunnea,,lateral
example_images/Ipelates latus form B (1dorsal) .jpg,Ipelates latus form B (1dorsal) .jpg,SEM-UBC COL-28995,0.9939910364263647,Ipelates latus form B,,dorsal
example_images/Eureum spenceri Allotype (7label) Allotype-0086 female.jpg,Eureum spenceri Allotype (7label) Allotype-0086 female.jpg,OCR FAILED,0,Eureum spenceri Allotype,,label
example_images/Aphodius pedellus (4front).jpeg,Aphodius pedellus (4front).jpeg,SEM-UBC COL-27515,0.9978197105067471,Aphodius pedellus,,front
example_images/Apteroloma tenuicorne (1dorsal) .jpg,Apteroloma tenuicorne (1dorsal) .jpg,SEM-UBC COL-28992,0.9115774971789203,Apteroloma tenuicorne,,dorsal
example_images/Amphizoa striata (1dorsal).jpg,Amphizoa striata (1dorsal).jpg,SEM-UBC COL-0090,0.9470010852160401,Amphizoa striata,,dorsal
example_images/Nyctibora sp form A (1dorsal) .jpg,Nyctibora sp form A (1dorsal) .jpg,SEM-UBC DIC-0073,0.8793138367943448,Nyctibora sp form A,,dorsal
example_images/Sinella baca (3left) COLL-0011.jpeg,Sinella baca (3left) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,left
example_images/Blattella vaga (3lateral) SEM-UBC DIC-0172.jpg,Blattella vaga (3lateral) SEM-UBC DIC-0172.jpg,SEM-UBC DIC-0172,FROM FILENAME,Blattella vaga,SEM-UBC DIC-0172,lateral
example_images/Euthyrrhapha pacifica (3lateral) SEM-UBC DIC-0172.jpg,Euthyrrhapha pacifica (3lateral) SEM-UBC DIC-0172.jpg,SEM-UBC DIC-0172,FROM FILENAME,Euthyrrhapha pacifica,SEM-UBC DIC-0172,lateral
example_images/Periplaneta americana nymph (1dorsal) .jpg,Periplaneta americana nymph (1dorsal) .jpg,SEM-UBC DIC-0027,0.9094254306571296,Periplaneta americana nymph,,dorsal
example_images/Scoliopteryx libatrix (2ventral).jpg,Scoliopteryx libatrix (2ventral).jpg,SEM-UBC NOC-0941,0.8975656645133779,Scoliopteryx libatrix,,ventral
example_images/Pteroloma nebrioides (1dorsal) .jpg,Pteroloma nebrioides (1dorsal) .jpg,SEM-UBC COL-28998,0.7919796849471781,Pteroloma nebrioides,,dorsal
example_images/Periplaneta americana (3lateral) .jpg,Periplaneta americana (3lateral) .jpg,SEM-UBC DIC-0039,0.9535227809870801,Periplaneta americana,,lateral
example_images/Dicyrtoma sp. (6label) COLL-0010.jpeg,Dicyrtoma sp. (6label) COLL-0010.jpeg,SEM-UBC COLL-0010,FROM FILENAME,Dicyrtoma sp.,SEM-UBC COLL-0010,label
example_images/Ptenothrix unicolor (1left) COLL-0004.jpg,Ptenothrix unicolor (1left) COLL-0004.jpg,SEM-UBC COLL-0004,FROM FILENAME,Ptenothrix unicolor,SEM-UBC COLL-0004,left
example_images/Pycnoscelus surinamensis (2ventral) .jpg,Pycnoscelus surinamensis (2ventral) .jpg,SEM-UBC DIC-0072,0.9842772149895186,Pycnoscelus surinamensis,,ventral
example_images/Zootermopsis angusticollis form D (1dorsal) body only.jpg,Zootermopsis angusticollis form D (1dorsal) body only.jpg,SEM-UBC ISO-0035,0.8510965588260968,Zootermopsis angusticollis form D,,dorsal
example_images/Dicyrtoma sp. (2right) COLL-0010.jpeg,Dicyrtoma sp. (2right) COLL-0010.jpeg,SEM-UBC COLL-0010,FROM FILENAME,Dicyrtoma sp.,SEM-UBC COLL-0010,right
example_images/Scoliopteryx libatrix (1dorsal).jpg,Scoliopteryx libatrix (1dorsal).jpg,SEM-UBC NOC-0941,0.9237189740552051,Scoliopteryx libatrix,,dorsal
example_images/Supella longipalpa form A (2ventral) .jpg,Supella longipalpa form A (2ventral) .jpg,SEM-UBC DIC-0085,0.8884195025233429,Supella longipalpa form A,,ventral
example_images/Periplaneta australasiae (1dorsal) .jpg,Periplaneta australasiae (1dorsal) .jpg,SEM-UBC DIC-0044,0.8667858044050087,Periplaneta australasiae,,dorsal
example_images/Amphizoa insolens (2ventral).jpg,Amphizoa insolens (2ventral).jpg,SEM-UBC COL-0044,0.6513469687859107,Amphizoa insolens,,ventral
example_images/Nyctibora sp form C (3lateral) .jpg,Nyctibora sp form C (3lateral) .jpg,SEM-UBC DIC-0076,0.9493931850500589,Nyctibora sp form C,,lateral
example_images/Entomobrya multifasciata (1left) COLL-0007.jpeg,Entomobrya multifasciata (1left) COLL-0007.jpeg,SEM-UBC COLL-0007,FROM FILENAME,Entomobrya multifasciata,SEM-UBC COLL-0007,left
example_images/Periplaneta australasiae (3lateral) .jpg,Periplaneta australasiae (3lateral) .jpg,SEM-UBC DIC-0044,0.6752908874064978,Periplaneta australasiae,,lateral
example_images/Entomobrya multifasciata (6fullslide) COLL-0007.jpeg,Entomobrya multifasciata (6fullslide) COLL-0007.jpeg,SEM-UBC COLL-0007,FROM FILENAME,Entomobrya multifasciata,SEM-UBC COLL-0007,fullslide
example_images/Apteroloma caraboides (4front).jpg,Apteroloma caraboides (4front).jpg,SEM-UBC COL-28991,0.7431580681606517,Apteroloma caraboides,,front
example_images/Supella longipalpa form A (1dorsal) .jpg,Supella longipalpa form A (1dorsal) .jpg,SEM-UBC DIC-0085,0.788389110643689,Supella longipalpa form A,,dorsal
example_images/Folsomia fimetaria (2right) COLL-0008.jpeg,Folsomia fimetaria (2right) COLL-0008.jpeg,SEM-UBC COLL-0008,FROM FILENAME,Folsomia fimetaria,SEM-UBC COLL-0008,right
example_images/Parcoblatta pennsylvanica (2ventral) SEM-UBC DIC-0186.jpg,Parcoblatta pennsylvanica (2ventral) SEM-UBC DIC-0186.jpg,SEM-UBC DIC-0186,FROM FILENAME,Parcoblatta pennsylvanica,SEM-UBC DIC-0186,ventral
example_images/Blatta orientalis nymph (1dorsal) .jpg,Blatta orientalis nymph (1dorsal) .jpg,SEM-UBC DIC-0016,0.8829202827738725,Blatta orientalis nymph,,dorsal
example_images/Isotomurus palustris (2right) COLL-0002.jpeg,Isotomurus palustris (2right) COLL-0002.jpeg,SEM-UBC COLL-0002,FROM FILENAME,Isotomurus palustris,SEM-UBC COLL-0002,right
example_images/Agulla bicolor female (2ventral).jpeg,Agulla bicolor female (2ventral).jpeg,SEM-UBC RAP-0165,0.933171347876396,Agulla bicolor female,,ventral
example_images/Apteroloma tenuicorne (2ventral) .jpg,Apteroloma tenuicorne (2ventral) .jpg,SEM-UBC COL-28992,0.7714970780551021,Apteroloma tenuicorne,,ventral
example_images/Folsomia fimetaria (6fullslide) COLL-0008.jpeg,Folsomia fimetaria (6fullslide) COLL-0008.jpeg,SEM-UBC COLL-0008,FROM FILENAME,Folsomia fimetaria,SEM-UBC COLL-0008,fullslide
example_images/Lamprochernes minor (2ventral).jpeg,Lamprochernes minor (2ventral).jpeg,SEM-UBC PSEU-0002,0.9735336504679252,Lamprochernes minor,,ventral
example_images/Mundochthonius pacificus (1dorsal).jpeg,Mundochthonius pacificus (1dorsal).jpeg,SEM-UBC PSEU-0001,0.7963181985724029,Mundochthonius pacificus,,dorsal
example_images/Isotomurus palustris (6fullslide) COLL-0002.jpeg,Isotomurus palustris (6fullslide) COLL-0002.jpeg,SEM-UBC COLL-0002,FROM FILENAME,Isotomurus palustris,SEM-UBC COLL-0002,fullslide
example_images/Periplaneta americana nymph (2ventral) .jpg,Periplaneta americana nymph (2ventral) .jpg,SEM-UBC DIC-0027,0.7891053394393905,Periplaneta americana nymph,,ventral
example_images/Periplaneta australasiae nymph (2ventral) .jpg,Periplaneta australasiae nymph (2ventral) .jpg,SEM-UBC DIC-0051,0.7068441772513854,Periplaneta australasiae nymph,,ventral
example_images/Necrophilus hydrophiloides form A (2ventral) .jpg,Necrophilus hydrophiloides form A (2ventral) .jpg,SEM-UBC COL-28996,0.9993664270310313,Necrophilus hydrophiloides form A,,ventral
example_images/Nemoria darwiniata (2ventral).jpg,Nemoria darwiniata (2ventral).jpg,SEM-UBC GEO-0260,0.7159009796729999,Nemoria darwiniata,,ventral
example_images/Sinella baca (2ventral) COLL-0011.jpeg,Sinella baca (2ventral) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,ventral
example_images/Aderus populneus (1dorsal) .jpg,Aderus populneus (1dorsal) .jpg,SEM-UBC COL-28948,0.7228514730737328,Aderus populneus,,dorsal
example_images/Lepidocyrtus cyaneus (6fullslide) COLL-0006.jpeg,Lepidocyrtus cyaneus (6fullslide) COLL-0006.jpeg,SEM-UBC COLL-0006,FROM FILENAME,Lepidocyrtus cyaneus,SEM-UBC COLL-0006,fullslide
example_images/Caenurgina annexa (1dorsal).jpg,Caenurgina annexa (1dorsal).jpg,SEM-UBC NOC-0945,0.8219180684707601,Caenurgina annexa,,dorsal
example_images/Blaberus sp (2ventral) merged .jpg,Blaberus sp (2ventral) merged .jpg,SEM-UBC DIC-0058,0.7532546133763252,Blaberus sp,,ventral
example_images/Nyctibora sp form A (2ventral) .jpg,Nyctibora sp form A (2ventral) .jpg,SEM-UBC DIC-0073,0.7941185034426634,Nyctibora sp form A,,ventral
example_images/Blaberus sp (3lateral) .jpg,Blaberus sp (3lateral) .jpg,SEM-UBC DIC-0058,0.9469996425856461,Blaberus sp,,lateral
example_images/Agulla bicolor female (3lateral).jpeg,Agulla bicolor female (3lateral).jpeg,SEM-UBC RAP-0165,0.8255599661752879,Agulla bicolor female,,lateral
example_images/Reticulitermes hesperus (1dorsal) .jpg,Reticulitermes hesperus (1dorsal) .jpg,SEM-UBC ISO-0130,0.6428606743455996,Reticulitermes hesperus,,dorsal
example_images/Tomocerus brevimucronatus (1left) COLL-0012.jpeg,Tomocerus brevimucronatus (1left) COLL-0012.jpeg,SEM-UBC COLL-0012,FROM FILENAME,Tomocerus brevimucronatus,SEM-UBC COLL-0012,left
example_images/Apteroloma tenuicorne (3lateral) .jpg,Apteroloma tenuicorne (3lateral) .jpg,SEM-UBC COL-28992,0.9903868571438396,Apteroloma tenuicorne,,lateral
example_images/Necrophilus hydrophiloides form A (4front).jpg,Necrophilus hydrophiloides form A (4front).jpg,SEM-UBC COL-28996,0.977892042046678,Necrophilus hydrophiloides form A,,front
example_images/Amphizoa striata (3lateral).jpg,Amphizoa striata (3lateral).jpg,SEM-UBC COL-0090,0.9985204861474983,Amphizoa striata,,lateral
example_images/Zootermopsis angusticollis form D (1dorsal) .jpg,Zootermopsis angusticollis form D (1dorsal) .jpg,SEM-UBC ISO-0035,0.9502734018926517,Zootermopsis angusticollis form D,,dorsal
