filename,scientific_name_image,scientific_name_image_conf,SEM_number_image,SEM_number_image_conf,angle_image,angle_image_conf,scientific_name_filename,SEM_number_filename,angle_filename,scientific_name_matches,SEM_number_matches,angle_matches,all_matches
Apteroloma caraboides (3lateral) .jpg,Apteroloma caraboides,0.957642152423444,SEM-UBC COL-28991,0.9711660527724132,lateral,0.957642152423444,Apteroloma caraboides,,lateral,True,,True,True
Aderus populneus (3lateral) .jpg,Aderus brunnipennis,0.26355185401356956,SEM-UBC COL-28948,0.8124366211636248,atera,0.26355185401356956,Aderus populneus,,lateral,False,,False,False
Amphizoa striata (2ventral).jpg,Amphizoa striata,0.841279905515223,SEM-UBC COL-0090,0.7145009379576551,ventral,0.841279905515223,Amphizoa striata,,ventral,True,,True,True
Apteroloma caraboides (1dorsal) .jpg,Apteroloma caraboides,0.9558853590808061,SEM-UBC COL-28991,0.9815802424281536,dorsal,0.9558853590808061,Apteroloma caraboides,,dorsal,True,,True,True
Aegialia criddlei (3lateral) .jpeg,Aegialia criddlei,0.9712606969265951,SEM-UBC COL-27499,0.9958732402307781,lateral,0.9712606969265951,Aegialia criddlei,,lateral,True,,True,True
Pycnoscelus surinamensis (1dorsal) .jpg,Pycnoscelus surinamensis,0.6599610689953666,SEM-UBC DIC-0072,0.8306721872409845,dorsal,0.6599610689953666,Pycnoscelus surinamensis,,dorsal,True,,True,True
Caenurgina annexa (2ventral).jpg,Caenurgina annexa,0.9990720661377559,SEM-UBC NOC-0945,0.9942902719193182,ventral,0.9990720661377559,Caenurgina annexa,,ventral,True,,True,True
Supella longipalpa form B (1dorsal) .jpg,Supella Iongipalpa form B,0.6444105670260861,SEM-UBC DIC-0090,0.9378554510861336,dorsal,0.6444105670260861,Supella longipalpa form B,,dorsal,False,,True,False
Zootermopsis angusticollis form D (2ventral) .jpg,Zootermopsis angusticollis form D,0.7930237976543859,SEM-UBC ISO-0035,0.7818049406739603,ventral,0.7930237976543859,Zootermopsis angusticollis form D,,ventral,True,,True,True
Ipelates latus form A (3lateral) .jpg,Ipelates latus form A,0.8191713185503502,SEM-UBC COL-28994,0.7231142858541386,lateral,0.8191713185503502,Ipelates latus form A,,lateral,True,,True,True
Blattella germanica nymph (3lateral) .jpg,Blatella germanica nymph,0.9738130185057927,SEM-UBC DIC-0108,0.9985801225302726,lateral,0.9738130185057927,Blattella germanica nymph,,lateral,False,,True,False
Zootermopsis angusticollis form A (3lateral) .jpg,OCR FAILED,0,OCR FAILED,0,OCR FAILED,0,Zootermopsis angusticollis form A,,lateral,False,,False,False
Albuna pyramidalis coloradensis female (1dorsal).jpg,Albuna pyramidalis coloradensis female,0.7573663424356648,SEM-UBC SES-0103,0.752982144240349,dorsal,0.7573663424356648,Albuna pyramidalis coloradensis female,,dorsal,True,,True,True
Agyrtes longulus (3lateral) .jpg,Agyrtes longulus,0.6853441014150896,SEM-UBC COL-28989,0.7831588683667506,lateral,0.6853441014150896,Agyrtes longulus,,lateral,True,,True,True
Sinella baca (4right) COLL-0011.jpeg,Sinella baca,0.9838720934851165,SEM-UBC COLL-0011,0.9810044286614044,right,0.9838720934851165,Sinella baca,,right,True,,True,True
Nyctibora sp form C (1dorsal) .jpg,Nyctibora sp form C,0.8174035948636337,SEM-UBC DIC-0076,0.9978107170457584,dorsal,0.8174035948636337,Nyctibora sp form C,,dorsal,True,,True,True
