id,file_path,image_file_name,SEM_number_image,SEM_number_image_conf,scientific_name_filename,SEM_number_filename,angle_filename
33630,images/Coleoptera/Staphylinidae/Oxytelinae/Carpelimus vancouverensis (2ventral) _0001.jpg,Carpelimus vancouverensis (2ventral) _0001.jpg,SEM PARATYPE,0.9643275766164893,Carpelimus vancouverensis,,ventral
33681,images/Coleoptera/Staphylinidae/Steninae/Stenus egenus male (1dorsal) .jpg,Stenus egenus male (1dorsal) .jpg,SEM-UBC,0.9997450577005299,Stenus egenus male,,dorsal
33865,images/Coleoptera/Staphylinidae/Staphylininae/Quedius nevadensis male (2ventral) .jpg,Quedius nevadensis male (2ventral) .jpg,SEM-UBC,0.999612126118959,Quedius nevadensis male,,ventral
34317,images/Coleoptera/Staphylinidae/Staphylininae/Gabrius forcipatus (4front).jpg,Gabrius forcipatus (4front).jpg,SEMADAC COL-24699,0.1445226436206798,Gabrius forcipatus,,front
35088,images/Coleoptera/Staphylinidae/Pseudopsinae/Zalobius spinicollis (3lateral) .jpg,Zalobius spinicollis (3lateral) .jpg,SEM-UBC,0.9996289794557358,Zalobius spinicollis,,lateral
35265,images/Coleoptera/Salpingidae/Rhinosimus lecontei female (1dorsal).jpg,Rhinosimus lecontei female (1dorsal).jpg,"SEM-UBC COL""251951",0.6669079668775313,Rhinosimus lecontei female,,dorsal
35505,images/Coleoptera/Coccinellidae/Hippodamia arctica form B (2ventral).jpg,Hippodamia arctica form B (2ventral).jpg,OCR FAILED,0,Hippodamia arctica form B,,ventral
35567,images/Coleoptera/Coccinellidae/Hippodamia arctica form A (2ventral).jpg,Hippodamia arctica form A (2ventral).jpg,OCR FAILED,0,Hippodamia arctica form A,,ventral
35935,images/Coleoptera/Curculionidae/Entiminae/Sitona lineatus (2ventral) .jpg,Sitona lineatus (2ventral) .jpg,SEMUBC COL-25651,0.6762235424462337,Sitona lineatus,,ventral
36285,images/Coleoptera/Curculionidae/Scolytinae/Polygraphus rufipennis form A (3lateral) .jpg,Polygraphus rufipennis form A (3lateral) .jpg,SEM,0.9951178099006688,Polygraphus rufipennis form A,,lateral
36370,images/Coleoptera/Curculionidae/Scolytinae/Scierus pubescens (4front).jpg,Scierus pubescens (4front).jpg,SEMEUBC COL-26704,0.48857877884022377,Scierus pubescens,,front
36577,images/Coleoptera/Curculionidae/Curculioninae/Macrorhoptus sidalceae Paratype (2ventral) .jpg,Macrorhoptus sidalceae Paratype (2ventral) .jpg,SEM-UBC COL 25198,0.5675239780442808,Macrorhoptus sidalceae Paratype,,ventral
36582,images/Coleoptera/Curculionidae/Curculioninae/Curculio uniformis (1dorsal) .jpg,Curculio uniformis (1dorsal) .jpg,"SEM-UBC COL""25197",0.6925511917113504,Curculio uniformis,,dorsal
36591,images/Coleoptera/Curculionidae/Curculioninae/Orchestes pallicornis (2ventral) .jpg,Orchestes pallicornis (2ventral) .jpg,SEM-UBC,0.9996993659294299,Orchestes pallicornis,,ventral
36606,images/Coleoptera/Curculionidae/Curculioninae/Rhinusa sp. (4front).jpg,Rhinusa sp. (4front).jpg,SEM,0.2645599738522783,Rhinusa sp.,,front
36698,images/Coleoptera/Curculionidae/Cossoninae/Rhyncolus macrops (3lateral) .jpg,Rhyncolus macrops (3lateral) .jpg,SEMUBC COL-25639,0.8859899752750567,Rhyncolus macrops,,lateral
36993,images/Coleoptera/Limnichidae/Limnichites punctatus (1dorsal).jpg,Limnichites punctatus (1dorsal).jpg,SEMUBC COL-18340,0.7013410856268828,Limnichites punctatus,,dorsal
37263,images/Coleoptera/Chrysomelidae/Galerucinae/Monoxia angularis (4front).jpg,Monoxia angularis (4front).jpg,SEM-UBC COL 30897,0.8359596957137289,Monoxia angularis,,front
38060,images/Coleoptera/Ochodaeidae/Xenochodaeus luscinus (3lateral).jpg,Xenochodaeus luscinus (3lateral).jpg,SEM-UBC,0.9154134808000282,Xenochodaeus luscinus,,lateral
38069,images/Coleoptera/Dryophthoridae/Sphenophorus mormon female (1dorsal) .jpg,Sphenophorus mormon female (1dorsal) .jpg,OCR FAILED,0,Sphenophorus mormon female,,dorsal
38104,images/Coleoptera/Cantharidae/Dichelotarsus tetragonoderus (1dorsal).jpg,Dichelotarsus tetragonoderus (1dorsal).jpg,SEM-UBC,0.9996686340039166,Dichelotarsus tetragonoderus,,dorsal
38232,images/Coleoptera/Ptiliidae/Ptenidium pusillum (3lateral) .jpg,Ptenidium pusillum (3lateral) .jpg,SEM-UBC,0.9996445259016297,Ptenidium pusillum,,lateral
