SEM #,Path To Images,Filenames
SEM-UBC SAL-0792,website/Main/Hemiptera/Saldidae/,"Saldula orbiculata (1dorsal).jpg, Saldula orbiculata (2ventral).jpg, Saldula orbiculata (3lateral).jpg, "
SEM-UBC SAL-0379,website/Main/Hemiptera/Saldidae/,"Saldula comatula (2ventral).jpg, Saldula comatula (3lateral).jpg, Saldula comatula (1dorsal).jpg, "
SEM-UBC SAL-0355,website/Main/Hemiptera/Saldidae/,"Saldula bouchervillei (1dorsal).jpg, Saldula bouchervillei (2ventral).jpg, Saldula bouchervillei (3lateral).jpg, "
SEM-UBC SAL-0142,website/Main/Hemiptera/Saldidae/,"Micracanthia humilis (1dorsal).jpg, Micracanthia humilis (3lateral).jpg, Micracanthia humilis (2ventral).jpg, "
SEM-UBC SAL-0212,website/Main/Hemiptera/Saldidae/,"Salda buenoi (1dorsal).jpg, Salda buenoi (3lateral).jpg, Salda buenoi (2ventral).jpg, "
SEM-UBC SAL-0438,website/Main/Hemiptera/Saldidae/,"Saldula laticollis (2ventral).jpg, Saldula laticollis (3lateral).jpg, Saldula laticollis (1dorsal).jpg, "
SEM-UBC SAL-0002,website/Main/Hemiptera/Saldidae/,"Calacanthia trybomi (3lateral).jpg, Calacanthia trybomi (1dorsal).jpg, Calacanthia trybomi (2ventral).jpg, "
SEM-UBC SAL-0105,website/Main/Hemiptera/Saldidae/,"Macrosaldula monae (2ventral).jpg, Macrosaldula monae (3lateral).jpg, Macrosaldula monae (1dorsal).jpg, "
SEM-UBC SAL-0028,website/Main/Hemiptera/Saldidae/,"Chiloxanthus stellatus (3lateral).jpg, Chiloxanthus stellatus (2ventral).jpg, Chiloxanthus stellatus (1dorsal).jpg, "
SEM-UBC SAL-0185,website/Main/Hemiptera/Saldidae/,"Micracanthia quadrimaculata (1dorsal).jpg, Micracanthia quadrimaculata (2ventral).jpg, Micracanthia quadrimaculata (3lateral).jpg, "
SEM-UBC SAL-0796,website/Main/Hemiptera/Saldidae/,"Saldula pallipes dimidiata (2ventral).jpg, Saldula pallipes dimidiata (1dorsal).jpg, Saldula pallipes dimidiata (3lateral).jpg, "
SEM-UBC SAL-0132,website/Main/Hemiptera/Saldidae/,"Micracanthia fennica (3lateral).jpg, Micracanthia fennica (1dorsal).jpg, Micracanthia fennica (2ventral).jpg, "
SEM-UBC SAL-0402,website/Main/Hemiptera/Saldidae/,"Saldula explanata (2ventral).jpg, Saldula explanata (1dorsal).jpg, Saldula explanata (3lateral).jpg, "
SEM-UBC SAL-0790,website/Main/Hemiptera/Saldidae/,"Saldula opiparia (3lateral).jpg, Saldula opiparia (1dorsal).jpg, Saldula opiparia (2ventral).jpg, "
SEM-UBC SAL-0266,website/Main/Hemiptera/Saldidae/,"Salda sp. near alta (2ventral).jpg, Salda sp. near alta (1dorsal).jpg, Salda sp. near alta (3lateral).jpg, "
SEM-UBC SAL-0748,website/Main/Hemiptera/Saldidae/,"Saldula opacula (2ventral).jpg, Saldula opacula (1dorsal).jpg, Saldula opacula (3lateral).jpg, "
SEM-UBC SAL-0248,website/Main/Hemiptera/Saldidae/,"Salda littoralis (3lateral).jpg, Salda littoralis (1dorsal).jpg, Salda littoralis (2ventral).jpg, "
SEM-UBC SAL-0915,website/Main/Hemiptera/Saldidae/,"Saldula pallipes complex form A (3lateral).jpg, Saldula pallipes complex form A (1dorsal).jpg, Saldula pallipes complex form A (2ventral).jpg, "
SEM-UBC SAL-1432,website/Main/Hemiptera/Saldidae/,"Saldula saltatoria (3lateral).jpg, Saldula saltatoria (1dorsal).jpg, Saldula saltatoria (2ventral).jpg, "
SEM-UBC SAL-1585,website/Main/Hemiptera/Saldidae/,"Teloleuca pellucens (2ventral).jpg, Teloleuca pellucens (1dorsal).jpg, Teloleuca pellucens (3lateral).jpg, "
SEM-UBC SAL-0385,website/Main/Hemiptera/Saldidae/,"Saldula coxalis complex (2ventral) SEM-UBC SAL-0385.jpg, Saldula coxalis complex (1dorsal) SEM-UBC SAL-0385.jpg, Saldula coxalis complex (3lateral) SEM-UBC SAL-0385.jpg, "
SEM-UBC HET-0600,website/Main/Hemiptera/Hydrometridae/,"Hydrometra martini (1dorsal).jpg, Hydrometra martini (3lateral).jpg, Hydrometra martini (2ventral).jpg, "
SEM-UBC HET-0615,website/Main/Hemiptera/Hydrometridae/,"Hydrometra wileyi Paratype (3lateral)   SEM-UBC HET-0615.jpg, Hydrometra wileyi Paratype (1dorsal)   SEM-UBC HET-0615.jpg, Hydrometra wileyi Paratype (2ventral)   SEM-UBC HET-0615.jpg, "
SEM-UBC HET-0720,website/Main/Hemiptera/Mesoveliidae/,"Mesovelia mulsanti (1dorsal).jpg, Mesovelia mulsanti (2ventral).jpg, Mesovelia mulsanti (3lateral).jpg, "
SEM-UBC HOM-0094,website/Main/Hemiptera/Liviidae/,"Livia caricis (3lateral) .jpg, Livia caricis (4front) .jpg, Livia caricis (2ventral) .jpg, Livia caricis (1dorsal) .jpg, "
SEM-UBC HET-0087,website/Main/Hemiptera/Belostomatidae/,"Belostoma flumineum (2ventral).jpg, Belostoma flumineum (1dorsal).jpg, Belostoma flumineum (3lateral).jpg, "
SEM-UBC HET-0081,website/Main/Hemiptera/Belostomatidae/,"Belostoma bakeri (1dorsal)    SEM-UBC HET-0081.jpg, Belostoma bakeri (3lateral)   SEM-UBC HET-0081.jpg, Belostoma bakeri (2ventral)   SEM-UBC HET-0081.jpg, "
SEM-UBC HET-0079,website/Main/Hemiptera/Belostomatidae/,"Abedus macronyx form B (1dorsal)   SEM-UBC HET-0079.jpg, Abedus macronyx form B (4front)   SEM-UBC HET-0079.jpg, Abedus macronyx form B (3lateral)   SEM-UBC HET-0079.jpg, Abedus macronyx form B (2ventral)   SEM-UBC HET-0079.jpg, "
SEM-UBC HET-0118 ,website/Main/Hemiptera/Belostomatidae/,"Lethocerus americanus (2ventral).jpg, "
SEM-UBC HET-0078,website/Main/Hemiptera/Belostomatidae/,"Abedus macronyx form A (1dorsal)   SEM-UBC HET-0078.jpg, Abedus macronyx form A (2ventral)   SEM-UBC HET-0078.jpg, Abedus macronyx form A (3lateral)   SEM-UBC HET-0078.jpg, "
SEM-UBC HET-0118,website/Main/Hemiptera/Belostomatidae/,"Lethocerus americanus (3lateral).jpg, Lethocerus americanus (1dorsal).jpg, "
SEM-UBC HET-0103,website/Main/Hemiptera/Belostomatidae/,"Belostoma lutarium (3lateral)   SEM-UBC HET-0103.jpg, Belostoma lutarium (1dorsal)   SEM-UBC HET-0103.jpg, Belostoma lutarium (2ventral)   SEM-UBC HET-0103.jpg, "
SEM-UBC HET-0102,website/Main/Hemiptera/Belostomatidae/,"Belostoma indicum (1dorsal)   SEM-UBC HET-0102.jpg, Belostoma indicum (2ventral)   SEM-UBC HET-0102.jpg, "
SEM-UBC HET-5472,website/Main/Hemiptera/Scutelleridae/,"Phimodera binotata (2ventral).jpg, Phimodera binotata (3lateral).jpg, Phimodera binotata (1dorsal).jpg, "
SEM-UBC HET-4972,website/Main/Hemiptera/Scutelleridae/,"Homaemus aeneifrons consors (3lateral).jpg, Homaemus aeneifrons consors (2ventral).jpg, Homaemus aeneifrons consors (1dorsal).jpg, "
SEM-UBC HET-5553,website/Main/Hemiptera/Scutelleridae/,"Vanduzeeina balli (3lateral).jpg, Vanduzeeina balli (1dorsal).jpg, Vanduzeeina balli (2ventral).jpg, "
SEM-UBC HET-4953,website/Main/Hemiptera/Scutelleridae/,"Homaemus aeneifrons aeneifrons form D (2ventral) SEM-UBC HET-4953.jpg, Homaemus aeneifrons aeneifrons form D (1dorsal) SEM-UBC HET-4953.jpg, Homaemus aeneifrons aeneifrons form D (3lateral) SEM-UBC HET-4953.jpg, "
SEM-UBC HET-6254,website/Main/Hemiptera/Scutelleridae/,"Euptychodera corrugata (4front).jpg, Euptychodera corrugata (2ventral).jpg, Euptychodera corrugata (3lateral).jpg, Euptychodera corrugata (1dorsal).jpg, "
SEM-UBC HET-4950,website/Main/Hemiptera/Scutelleridae/,"Homaemus aeneifrons aeneifrons form B (3lateral) SEM-UBC HET-4950.jpg, Homaemus aeneifrons aeneifrons form B (1dorsal) SEM-UBC HET-4950.jpg, Homaemus aeneifrons aeneifrons form B (2ventral) SEM-UBC HET-4950.jpg, "
SEM-UBC HET-4955,website/Main/Hemiptera/Scutelleridae/,"Homaemus aeneifrons aeneifrons form C (1dorsal) SEM-UBC HET-4955.jpg, Homaemus aeneifrons aeneifrons form C (2ventral) SEM-UBC HET-4955.jpg, Homaemus aeneifrons aeneifrons form C (3lateral) SEM-UBC HET-4955.jpg, "
SEM-UBC HET-5464,website/Main/Hemiptera/Scutelleridae/,"Homaemus bijugis (2ventral).jpg, Homaemus bijugis (1dorsal).jpg, Homaemus bijugis (3lateral).jpg, "
SEM-UBC HET-4716,website/Main/Hemiptera/Scutelleridae/,"Eurygaster alternata (2ventral).jpg, Eurygaster alternata (3lateral).jpg, Eurygaster alternata (1dorsal).jpg, "
SEM-UBC HET-5467,website/Main/Hemiptera/Scutelleridae/,"Homaemus parvulus (3lateral).jpg, Homaemus parvulus (1dorsal).jpg, Homaemus parvulus (2ventral).jpg, "
SEM-UBC HET-5894,website/Main/Hemiptera/Scutelleridae/,"Homaemus aeneifrons aeneifrons form A (1dorsal) SEM-UBC HET-5894.jpg, Homaemus aeneifrons aeneifrons form A (2ventral) SEM-UBC HET-5894.jpg, "
SEM-UBC HET-5557,website/Main/Hemiptera/Scutelleridae/,"Vanduzeeina borealis (3lateral).jpg, Vanduzeeina borealis (1dorsal).jpg, Vanduzeeina borealis (2ventral).jpg, "
SEM-UBC HET-1174,website/Main/Hemiptera/Naucoridae/,"Pelocoris femoratus Form A (2ventral) .jpg, Pelocoris femoratus Form A (1dorsal) .jpg, Pelocoris femoratus Form A (4front) .jpg, Pelocoris femoratus Form A (3lateral) .jpg, "
SEM-UBC HET-1177,website/Main/Hemiptera/Naucoridae/,"Pelocoris femoratus Form B (3lateral) .jpg, Pelocoris femoratus Form B (1dorsal) .jpg, Pelocoris femoratus Form B (2ventral) .jpg, "
SEM-UBC HOM-0065,website/Main/Hemiptera/Cixiidae/,"Oliarus dondonius male (3lateral) .jpg, Oliarus dondonius male (1dorsal) .jpg, Oliarus dondonius male (2ventral) .jpg, "
SEM-UBC HOM-0060,website/Main/Hemiptera/Cixiidae/,"Oecleus venosus (1dorsal) .jpg, Oecleus venosus (3lateral) .jpg, Oecleus venosus (4front) .jpg, Oecleus venosus (2ventral) .jpg, "
SEM-UBC HOM-0059,website/Main/Hemiptera/Cixiidae/,"Oecleus decens (1dorsal) .jpg, Oecleus decens (3lateral) .jpg, Oecleus decens (2ventral) .jpg, "
SEM-UBC HOM-0062,website/Main/Hemiptera/Cixiidae/,"Oliarus beirnei female (2ventral) .jpg, Oliarus beirnei female (1dorsal) .jpg, Oliarus beirnei female (3lateral) .jpg, "
